,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.209,0.052,0.143,,,0.303,,
ece,CLUTRR,0.293,0.518,0.408,,,0.744,,
ece,GSM8K,0.105,0.077,0.081,,,0.637,,
ece,DATE,0.069,0.184,0.115,,,0.615,,
ece,MULTIARITH,0.356,0.144,0.318,,,0.26,,
ece,SAYCAN,0.353,0.391,0.41,,,0.574,,
ece,SPORT,0.364,0.436,0.415,,,0.529,,
ece,STRATEGYQA,0.288,0.266,0.226,,,0.384,,
ece,SVAMP,0.234,0.041,0.173,,,0.342,,
ece,average,0.252,0.234,0.254,,,0.488,,
brier,ASDIV,0.197,0.141,0.172,,,0.316,,
brier,CLUTRR,0.277,0.459,0.373,,,0.702,,
brier,GSM8K,0.164,0.16,0.165,,,0.58,,
brier,DATE,0.195,0.228,0.21,,,0.607,,
brier,MULTIARITH,0.32,0.205,0.29,,,0.289,,
brier,SAYCAN,0.367,0.397,0.412,,,0.556,,
brier,SPORT,0.394,0.444,0.423,,,0.529,,
brier,STRATEGYQA,0.357,0.338,0.322,,,0.397,,
brier,SVAMP,0.246,0.188,0.224,,,0.358,,
brier,average,0.28,0.284,0.288,,,0.482,,
