,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.189,0.386,0.227,,,0.735,,
ece,CLUTRR,0.351,0.557,0.454,,,0.703,,
ece,GSM8K,0.201,0.376,0.211,,,0.784,,
ece,DATE,0.228,0.417,0.269,,,0.764,,
ece,MULTIARITH,0.24,0.449,0.272,,,0.794,,
ece,SAYCAN,0.115,0.15,0.106,,,0.602,,
ece,SPORT,0.236,0.162,0.183,,,0.239,,
ece,STRATEGYQA,0.259,0.244,0.231,,,0.333,,
ece,SVAMP,0.15,0.329,0.18,,,0.721,,
ece,average,0.219,0.341,0.237,,,0.631,,
brier,ASDIV,0.162,0.282,0.204,,,0.648,,
brier,CLUTRR,0.378,0.527,0.458,,,0.694,,
brier,GSM8K,0.124,0.24,0.159,,,0.669,,
brier,DATE,0.2,0.317,0.238,,,0.712,,
brier,MULTIARITH,0.172,0.324,0.226,,,0.708,,
brier,SAYCAN,0.158,0.159,0.147,,,0.586,,
brier,SPORT,0.265,0.214,0.226,,,0.246,,
brier,STRATEGYQA,0.307,0.29,0.287,,,0.337,,
brier,SVAMP,0.136,0.232,0.168,,,0.615,,
brier,average,0.211,0.287,0.235,,,0.579,,
