Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.074,0.091,0.051,0.128,0.018
ece,CLUTRR,0.256,0.106,0.254,0.412,0.128
ece,GSM8K,0.129,0.119,0.145,0.088,0.125
ece,DATE,0.145,0.042,0.065,0.17,0.176
ece,MULTIARITH,0.127,0.088,0.168,0.08,0.031
ece,SAYCAN,0.146,0.216,0.198,0.452,0.519
ece,SPORT,0.144,0.035,0.109,0.267,0.099
ece,STRATEGYQA,0.124,0.053,0.101,0.192,0.331
ece,SVAMP,0.088,0.101,0.043,0.095,0.019
ece,average,0.137,0.095,0.126,0.209,0.161
brier,ASDIV,0.103,0.17,0.164,0.187,0.164
brier,CLUTRR,0.28,0.222,0.279,0.342,0.149
brier,GSM8K,0.077,0.084,0.083,0.097,0.077
brier,DATE,0.165,0.139,0.127,0.178,0.185
brier,MULTIARITH,0.083,0.175,0.112,0.205,0.15
brier,SAYCAN,0.236,0.271,0.25,0.443,0.495
brier,SPORT,0.268,0.16,0.192,0.319,0.165
brier,STRATEGYQA,0.269,0.236,0.263,0.301,0.363
brier,SVAMP,0.076,0.214,0.195,0.208,0.163
brier,average,0.173,0.186,0.185,0.253,0.212
