Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.036,0.217,0.171,0.279,0.11
ece,CLUTRR,0.043,0.087,0.069,0.205,0.069
ece,GSM8K,0.034,0.02,0.033,0.039,0.025
ece,DATE,0.044,0.111,0.081,0.032,0.027
ece,MULTIARITH,0.03,0.069,0.058,0.201,0.087
ece,SAYCAN,0.244,0.276,0.294,0.513,0.552
ece,SPORT,0.415,0.529,0.666,0.271,0.209
ece,STRATEGYQA,0.436,0.494,0.446,0.364,0.199
ece,SVAMP,0.009,0.225,0.177,0.251,0.121
ece,average,0.143,0.225,0.222,0.239,0.155
brier,ASDIV,0.102,0.227,0.203,0.261,0.177
brier,CLUTRR,0.216,0.215,0.213,0.213,0.119
brier,GSM8K,0.056,0.066,0.057,0.091,0.058
brier,DATE,0.136,0.158,0.139,0.15,0.147
brier,MULTIARITH,0.064,0.165,0.077,0.242,0.154
brier,SAYCAN,0.277,0.311,0.293,0.503,0.539
brier,SPORT,0.418,0.452,0.626,0.331,0.24
brier,STRATEGYQA,0.444,0.481,0.457,0.401,0.303
brier,SVAMP,0.069,0.258,0.229,0.269,0.181
brier,average,0.198,0.259,0.255,0.273,0.213
