Metric,Dataset,standard,COT,LtM,noNL,NL+SL
ece,ASDIV,0.051,0.201,0.154,0.251,0.131
ece,CLUTRR,0.137,0.147,0.16,0.283,0.089
ece,GSM8K,0.036,0.045,0.054,0.035,0.05
ece,DATE,0.102,0.128,0.083,0.06,0.105
ece,MULTIARITH,0.046,0.125,0.095,0.216,0.124
ece,SAYCAN,0.26,0.288,0.297,0.565,0.614
ece,SPORT,0.199,0.297,0.485,0.249,0.125
ece,STRATEGYQA,0.277,0.289,0.282,0.231,0.219
ece,SVAMP,0.039,0.225,0.167,0.234,0.14
ece,average,0.127,0.194,0.197,0.236,0.177
brier,ASDIV,0.104,0.21,0.19,0.237,0.189
brier,CLUTRR,0.239,0.231,0.239,0.26,0.132
brier,GSM8K,0.059,0.07,0.063,0.092,0.062
brier,DATE,0.153,0.16,0.139,0.157,0.162
brier,MULTIARITH,0.068,0.178,0.087,0.246,0.162
brier,SAYCAN,0.283,0.314,0.309,0.549,0.591
brier,SPORT,0.299,0.263,0.414,0.311,0.181
brier,STRATEGYQA,0.344,0.333,0.348,0.319,0.313
brier,SVAMP,0.073,0.255,0.222,0.251,0.189
brier,average,0.18,0.224,0.223,0.269,0.22
