,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.217,0.091,0.201,,,0.366,,
ece,CLUTRR,0.087,0.106,0.147,,,0.623,,
ece,GSM8K,0.02,0.119,0.045,,,0.648,,
ece,DATE,0.111,0.042,0.128,,,0.62,,
ece,MULTIARITH,0.069,0.088,0.125,,,0.581,,
ece,SAYCAN,0.276,0.216,0.288,,,0.518,,
ece,SPORT,0.529,0.035,0.297,,,0.176,,
ece,STRATEGYQA,0.494,0.053,0.289,,,0.186,,
ece,SVAMP,0.225,0.101,0.225,,,0.418,,
ece,average,0.225,0.095,0.194,,,0.46,,
brier,ASDIV,0.227,0.17,0.21,,,0.352,,
brier,CLUTRR,0.215,0.222,0.231,,,0.594,,
brier,GSM8K,0.066,0.084,0.07,,,0.498,,
brier,DATE,0.158,0.139,0.16,,,0.545,,
brier,MULTIARITH,0.165,0.175,0.178,,,0.505,,
brier,SAYCAN,0.311,0.271,0.314,,,0.514,,
brier,SPORT,0.452,0.16,0.263,,,0.209,,
brier,STRATEGYQA,0.481,0.236,0.333,,,0.274,,
brier,SVAMP,0.258,0.214,0.255,,,0.399,,
brier,average,0.259,0.186,0.224,,,0.432,,
