,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.171,0.051,0.154,,,0.538,,
ece,CLUTRR,0.069,0.254,0.16,,,0.634,,
ece,GSM8K,0.033,0.145,0.054,,,0.804,,
ece,DATE,0.081,0.065,0.083,,,0.698,,
ece,MULTIARITH,0.058,0.168,0.095,,,0.805,,
ece,SAYCAN,0.294,0.198,0.297,,,0.526,,
ece,SPORT,0.666,0.109,0.485,,,0.233,,
ece,STRATEGYQA,0.446,0.101,0.282,,,0.312,,
ece,SVAMP,0.177,0.043,0.167,,,0.564,,
ece,average,0.222,0.126,0.197,,,0.568,,
brier,ASDIV,0.203,0.164,0.19,,,0.509,,
brier,CLUTRR,0.213,0.279,0.239,,,0.615,,
brier,GSM8K,0.057,0.083,0.063,,,0.704,,
brier,DATE,0.139,0.127,0.139,,,0.644,,
brier,MULTIARITH,0.077,0.112,0.087,,,0.721,,
brier,SAYCAN,0.293,0.25,0.309,,,0.52,,
brier,SPORT,0.626,0.192,0.414,,,0.249,,
brier,STRATEGYQA,0.457,0.263,0.348,,,0.346,,
brier,SVAMP,0.229,0.195,0.222,,,0.539,,
brier,average,0.255,0.185,0.223,,,0.539,,
