,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.11,0.018,0.131,,,0.637,,
ece,CLUTRR,0.069,0.128,0.089,,,0.817,,
ece,GSM8K,0.025,0.125,0.05,,,0.799,,
ece,DATE,0.027,0.176,0.105,,,0.776,,
ece,MULTIARITH,0.087,0.031,0.124,,,0.68,,
ece,SAYCAN,0.552,0.519,0.614,,,0.477,,
ece,SPORT,0.209,0.099,0.125,,,0.212,,
ece,STRATEGYQA,0.199,0.331,0.219,,,0.369,,
ece,SVAMP,0.121,0.019,0.14,,,0.653,,
ece,average,0.155,0.161,0.177,,,0.602,,
brier,ASDIV,0.177,0.164,0.189,,,0.583,,
brier,CLUTRR,0.119,0.149,0.132,,,0.786,,
brier,GSM8K,0.058,0.077,0.062,,,0.696,,
brier,DATE,0.147,0.185,0.162,,,0.764,,
brier,MULTIARITH,0.154,0.15,0.162,,,0.609,,
brier,SAYCAN,0.539,0.495,0.591,,,0.459,,
brier,SPORT,0.24,0.165,0.181,,,0.216,,
brier,STRATEGYQA,0.303,0.363,0.313,,,0.386,,
brier,SVAMP,0.181,0.163,0.189,,,0.599,,
brier,average,0.213,0.212,0.22,,,0.566,,
