,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.279,0.128,0.251,,,0.365,,
ece,CLUTRR,0.205,0.412,0.283,,,0.735,,
ece,GSM8K,0.039,0.088,0.035,,,0.687,,
ece,DATE,0.032,0.17,0.06,,,0.752,,
ece,MULTIARITH,0.201,0.08,0.216,,,0.505,,
ece,SAYCAN,0.513,0.452,0.565,,,0.5,,
ece,SPORT,0.271,0.267,0.249,,,0.427,,
ece,STRATEGYQA,0.364,0.192,0.231,,,0.366,,
ece,SVAMP,0.251,0.095,0.234,,,0.421,,
ece,average,0.239,0.209,0.236,,,0.529,,
brier,ASDIV,0.261,0.187,0.237,,,0.37,,
brier,CLUTRR,0.213,0.342,0.26,,,0.687,,
brier,GSM8K,0.091,0.097,0.092,,,0.567,,
brier,DATE,0.15,0.178,0.157,,,0.735,,
brier,MULTIARITH,0.242,0.205,0.246,,,0.468,,
brier,SAYCAN,0.503,0.443,0.549,,,0.489,,
brier,SPORT,0.331,0.319,0.311,,,0.428,,
brier,STRATEGYQA,0.401,0.301,0.319,,,0.387,,
brier,SVAMP,0.269,0.208,0.251,,,0.412,,
brier,average,0.273,0.253,0.269,,,0.505,,
