,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.036,0.074,0.051,,,0.627,,
ece,CLUTRR,0.043,0.256,0.137,,,0.619,,
ece,GSM8K,0.034,0.129,0.036,,,0.706,,
ece,DATE,0.044,0.145,0.102,,,0.698,,
ece,MULTIARITH,0.03,0.127,0.046,,,0.712,,
ece,SAYCAN,0.244,0.146,0.26,,,0.546,,
ece,SPORT,0.415,0.144,0.199,,,0.424,,
ece,STRATEGYQA,0.436,0.124,0.277,,,0.437,,
ece,SVAMP,0.009,0.088,0.039,,,0.666,,
ece,average,0.143,0.137,0.127,,,0.604,,
brier,ASDIV,0.102,0.103,0.104,,,0.503,,
brier,CLUTRR,0.216,0.28,0.239,,,0.6,,
brier,GSM8K,0.056,0.077,0.059,,,0.552,,
brier,DATE,0.136,0.165,0.153,,,0.621,,
brier,MULTIARITH,0.064,0.083,0.068,,,0.57,,
brier,SAYCAN,0.277,0.236,0.283,,,0.532,,
brier,SPORT,0.418,0.268,0.299,,,0.428,,
brier,STRATEGYQA,0.444,0.269,0.344,,,0.441,,
brier,SVAMP,0.069,0.076,0.073,,,0.516,,
brier,average,0.198,0.173,0.18,,,0.529,,
