code002_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

gpt-3.5-turbo_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

gpt4_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

llama-7B_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

llama-13B_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

llama-70B_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

mistral-7B_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

mistral-7B-it_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,,,,,
CLUTRR,,,,,
DATE,,,,,
GSM8K,,,,,
MULTIARITH,,,,,
SAYCAN,,,,,
SPORT,,,,,
STRATEGYQA,,,,,
SVAMP,,,,,

olmo-7B_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,15.1,40.2,34.9,47.5,32.1
CLUTRR,33.5,29.6,31.8,13.7,13.6
DATE,18.1,22.0,21.2,22.3,20.6
GSM8K,6.0,7.1,5.4,11.7,7.5
MULTIARITH,6.9,19.0,7.7,28.9,22.1
SAYCAN,40.8,40.8,42.7,41.7,44.7
SPORT,51.8,76.6,73.3,55.8,78.0
STRATEGYQA,49.7,60.8,55.3,50.8,53.2
SVAMP,7.7,35.0,33.9,43.9,27.1

olmo-7B-it_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,13.3,52.1,49.7,59.8,51.6
CLUTRR,27.8,26.1,28.9,17.7,22.8
DATE,16.7,25.3,24.5,36.5,32.6
GSM8K,4.8,25.3,22.0,25.4,21.9
MULTIARITH,7.9,84.2,63.8,64.6,69.0
SAYCAN,36.9,48.5,49.5,36.9,43.7
SPORT,73.9,81.3,83.9,45.9,77.2
STRATEGYQA,64.5,74.0,68.5,53.3,53.4
SVAMP,10.9,39.9,49.9,57.6,44.0

olmo-7B-it-rl_n:40
,standard,COT,LtM,noNL,NL+SL
ASDIV,11.8,47.4,43.3,51.7,43.2
CLUTRR,25.7,18.8,23.3,18.6,17.6
DATE,15.6,24.5,23.1,29.2,27.6
GSM8K,4.3,20.9,18.3,21.2,19.9
MULTIARITH,6.5,65.9,48.0,60.6,61.4
SAYCAN,33.0,36.9,43.7,32.0,38.8
SPORT,74.1,80.5,84.1,78.0,78.0
STRATEGYQA,64.2,72.1,66.3,53.2,53.4
SVAMP,8.1,36.4,40.2,46.7,34.6

