,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
code002,MWP,0.129,0.109,0.119,0.209,0.225,0.171,0.164,0.143
code002,MHQA,0.199,0.147,0.160,0.287,0.214,0.181,nan,0.206
code002,Plan.,0.175,0.115,0.152,0.243,0.159,0.145,0.135,0.190
code002,Relation.,0.288,0.369,0.327,0.296,0.536,0.506,0.330,0.232
code002,average,0.175,0.151,0.159,0.249,0.249,0.209,0.188,0.179
gpt-3.5-turbo,MWP,0.133,0.144,0.131,0.187,0.193,nan,nan,nan
gpt-3.5-turbo,MHQA,0.249,0.268,0.250,0.324,0.281,nan,nan,nan
gpt-3.5-turbo,Plan.,0.137,0.126,0.126,0.267,0.341,nan,nan,nan
gpt-3.5-turbo,Relation.,0.429,0.482,0.465,0.450,0.509,nan,nan,nan
gpt-3.5-turbo,average,0.205,0.221,0.207,0.271,0.273,nan,nan,nan
gpt4,MWP,0.059,0.065,0.059,0.074,0.078,nan,nan,nan
gpt4,MHQA,0.108,0.102,0.100,0.143,0.132,nan,nan,nan
gpt4,Plan.,0.092,0.065,0.079,0.279,0.481,nan,nan,nan
gpt4,Relation.,0.392,0.443,0.416,0.386,0.435,nan,nan,nan
gpt4,average,0.116,0.119,0.114,0.154,0.181,nan,nan,nan
llama-7B,MWP,0.186,0.187,0.190,nan,nan,0.531,nan,nan
llama-7B,MHQA,0.288,0.251,0.256,nan,nan,0.402,nan,nan
llama-7B,Plan.,0.267,0.214,0.269,nan,nan,0.307,nan,nan
llama-7B,Relation.,0.290,0.370,0.323,nan,nan,0.633,nan,nan
llama-7B,average,0.241,0.232,0.235,nan,nan,0.474,nan,nan
llama-13B,MWP,0.189,0.173,0.185,nan,nan,0.421,nan,nan
llama-13B,MHQA,0.244,0.200,0.207,nan,nan,0.322,nan,nan
llama-13B,Plan.,0.209,0.190,0.220,nan,nan,0.250,nan,nan
llama-13B,Relation.,0.298,0.353,0.320,nan,nan,0.596,nan,nan
llama-13B,average,0.222,0.204,0.211,nan,nan,0.389,nan,nan
llama-70B,MWP,0.147,0.122,0.132,nan,nan,0.239,nan,nan
llama-70B,MHQA,0.186,0.133,0.151,nan,nan,0.199,nan,nan
llama-70B,Plan.,0.206,0.156,0.191,nan,nan,0.179,nan,nan
llama-70B,Relation.,0.287,0.347,0.309,nan,nan,0.534,nan,nan
llama-70B,average,0.182,0.154,0.165,nan,nan,0.252,nan,nan
mistral-7B,MWP,0.171,0.150,0.160,nan,nan,0.332,nan,nan
mistral-7B,MHQA,0.219,0.175,0.184,nan,nan,0.275,nan,nan
mistral-7B,Plan.,0.225,0.186,0.217,nan,nan,0.207,nan,nan
mistral-7B,Relation.,0.283,0.334,0.307,nan,nan,0.555,nan,nan
mistral-7B,average,0.205,0.183,0.191,nan,nan,0.324,nan,nan
mistral-7B-it,MWP,0.170,0.158,0.164,nan,nan,0.347,nan,nan
mistral-7B-it,MHQA,0.254,0.236,0.235,nan,nan,0.362,nan,nan
mistral-7B-it,Plan.,0.228,0.209,0.229,nan,nan,0.332,nan,nan
mistral-7B-it,Relation.,0.306,0.397,0.347,nan,nan,0.648,nan,nan
mistral-7B-it,average,0.220,0.216,0.215,nan,nan,0.384,nan,nan
